Ano de Edição,Colaborador,Editora,ISBN,Ano,Edição,Origem,Formato,Encadernação,Idioma,País,Páginas,preço,nome,categoria
2013.0,"Autor:SPOSITO, MARIA ENCARNAÇAO BELTRAO|Autor:GOES, EDA MARIA",UNESP,8539304929,2013.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,376.0,94.0,ESPAÇOS FECHADOS E CIDADES,Geografia
2019.0,"Autor:FRANK, ANNE",NOVO SECULO,8542813227,2019.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,208.0,24.9,O DIÁRIO DE ANNE FRANK,História
1994.0,"Autor:SPOSITO, ELISEU SAVERIO",CONTEXTO,8572440356,1994.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,92.0,33.0,VIDA NAS CIDADES,Geografia
1988.0,"Autor:SPOSITO, MARIA ENCARNAÇAO B.",CONTEXTO,8585134275,1988.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,80.0,19.9,CAPITALISMO E URBANIZAÇÃO,Geografia
1993.0,"Autor:MENDONÇA, FRANCISCO",CONTEXTO,8572440305,1993.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,80.0,23.0,GEOGRAFIA E MEIO AMBIENTE,Geografia
1988.0,"Autor:RODRIGUES, ARLETE MOYSES",CONTEXTO,8572440534,1988.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,74.0,27.0,MORADIA NAS CIDADES BRASILEIRAS,Geografia
2019.0,"Autor:PIMENTA, PAULA",GUTENBERG AUTENTICA,8582356099,2019.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,336.0,36.6,FAZENDO MEU FILME 1 - A ESTREIA DE FANI,Teen
2016.0,"Ilustrador:WILLIAMS, TRUE|Tradutor:CAMACHO, ALEXANDRE SANCHES|Autor:TWAIN, MARK",VIA LEITURA,8567097274,2016.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,272.0,39.9,AS AVENTURAS DE TOM SAWYER,Teen
2016.0,"Autor:APPLEGATE, KATHERINE|Tradutor:PROSPERO, ISADORA",PLATAFORMA 21,8592783003,2016.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,224.0,42.9,CRENSHAW: A FOME DA IMAGINAÇÃO,Teen
2013.0,"Autor:GREEN, JOHN|Autor:LEVITHAN, DAVID|Tradutor:ZAMPIL, RAQUEL",GALERA RECORD,8501093882,2013.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,352.0,49.9,"WILL E WILL: UM NOME, UM DESTINO",Teen
2017.0,"Autor:KING, A. S.|Tradutor:NOVELLO, ERIC",GUTENBERG AUTENTICA,8582354347,2017.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,240.0,44.9,A HISTÓRIA DO FUTURO DE GLORY O’BRIEN,Teen
2012.0,"Autor:BLACK, HOLLY|Tradutor:WINARSKI, REGIANE",ROCCO -,8579801281,2012.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,360.0,39.5,GATA BRANCA,Teen
2015.0,"Autor:STONE, OLIVER|Autor:KUZNICK, PETER|Tradutor:SZLOK, CALOR",FARO EDITORIAL,8562409480,2015.0,1.0,Nacional,LIVRO,CAPA DURA,PORTUGUÊS,BRASIL,360.0,44.03,A HISTÓRIA NÃO CONTADA DOS EUA,História
