Editora,ISBN,Ano,Edição,Origem,Encadernação,Idioma,País,Páginas,preço,nome,categoria,Autores
PAZ E TERRA,857753099X,2012,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,532,79.9,A ERA DAS REVOLUÇÕES,HISTÓRIA,ERIC J. HOBSBAWM
CHIADO BRASIL,9895141394,2015,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,426,48.0,COTAXE,HISTÓRIA,ADILSON VILAÇA
CONTEXTO,8572443770,2008,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,318,89.9,HISTÓRIA DO CAFÉ,HISTÓRIA,ANA LUIZA MARTINS
VIDE EDITORIAL,859507027X,2017,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,508,84.9,1964 - O ELO PERDIDO - O BRASIL NOS ARQUIVOS DO SERVIÇO SECRETO COMUNISTA,HISTÓRIA,MAURO KRAENSKI; VLADIMIR PETRILAK
UNESP,8539304929,2013,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,376,94.0,ESPAÇOS FECHADOS E CIDADES,GEOGRAFIA,EDA MARIA GOES; MARIA ENCARNAÇAO BELTRAO SPOSITO
NOVO SECULO,8542813227,2019,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,208,24.9,O DIÁRIO DE ANNE FRANK,HISTÓRIA,ANNE FRANK
CONTEXTO,8572440356,1994,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,92,33.0,VIDA NAS CIDADES,GEOGRAFIA,ELISEU SAVERIO SPOSITO
CONTEXTO,8585134275,1988,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,80,19.9,CAPITALISMO E URBANIZAÇÃO,GEOGRAFIA,MARIA ENCARNAÇAO B. SPOSITO
CONTEXTO,8572440305,1993,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,80,23.0,GEOGRAFIA E MEIO AMBIENTE,GEOGRAFIA,FRANCISCO MENDONÇA
CONTEXTO,8572440534,1988,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,74,27.0,MORADIA NAS CIDADES BRASILEIRAS,GEOGRAFIA,ARLETE MOYSES RODRIGUES
